Species,Population,Treatment,Transfer,Hatching,Day6Mass,DateOfPrepupa,DateOfPupa,DateOfAdult,TimeToAdult,Sex,PupalMass,AdultSize,HornSize,StageAtDeath
Gazella,HI,M(-),6/24/2014,6/25/2014,0.1816,7/12/2014,7/13/2014,7/18/2014,23,F,0.1525,5.6,,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.173,7/12/2014,7/13/2014,7/19/2014,23,F,0.1252,5.042,,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.0547,7/30/2014,7/31/2014,,,M,0.0512,,,Pupa
Gazella,HI,M(-),6/24/2014,6/26/2014,0.1907,7/13/2014,7/14/2014,7/20/2014,24,M,0.1208,5.01,0.459,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.2013,7/13/2014,7/14/2014,7/20/2014,24,M,0.1552,5.493,0.568,
Gazella,HI,M(-),6/24/2014,6/26/2014,,7/12/2014,7/13/2014,7/18/2014,22,M,0.1428,5.362,0.582,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.2416,7/10/2014,7/11/2014,7/17/2014,21,F,0.1809,5.738,,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.057,7/17/2014,7/19/2014,7/24/2014,28,M,0.1272,5.166,0.501,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.0432,,,,,,,,,L3
Gazella,HI,M(-),6/24/2014,6/26/2014,0.0876,7/17/2014,7/18/2014,7/24/2014,28,M,0.143,5.349,0.539,
Gazella,HI,M(-),6/24/2014,6/25/2014,0.1945,7/12/2014,7/13/2014,7/20/2014,25,M,0.176,5.929,1.166,
Gazella,HI,M(-),6/24/2014,6/25/2014,0.0776,7/16/2014,7/17/2014,7/23/2014,28,F,0.1428,5.347,,
Gazella,HI,M(-),6/24/2014,6/26/2014,0.1306,,,,,,,,,L3
Gazella,HI,M(-),6/24/2014,6/26/2014,0.1122,7/18/2014,,,,,,,,PP
Gazella,HI,M(-),6/24/2014,6/26/2014,,,,,,,,,,L2
Gazella,HI,M(-),6/24/2014,6/26/2014,0.1852,7/13/2014,7/14/2014,7/21/2014,25,F,0.1532,5.434,,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.094,7/30/2014,7/31/2014,8/6/2014,28,F,0.121,4.888,,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0272,,,,,,,,,L2
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0448,,,,,,,,,L3
Gazella,HI,M(-),7/8/2014,7/10/2014,,,,,,,,,,L2
Gazella,HI,M(-),7/8/2014,7/9/2014,0.08,7/31/2014,8/1/2014,8/7/2014,29,M,0.1157,4.905,,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0986,7/31/3014,7/31/2014,8/6/2014,28,F,0.1329,5.046,,
Gazella,HI,M(-),7/8/2014,7/10/2014,0.03,,,,,,,,,L2
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0673,8/8/2014,8/9/2014,8/14/2014,36,F,0.0915,4.445,,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0742,7/30/2014,7/31/2014,8/5/2014,27,M,0.143,5.248,0.467,
Gazella,HI,M(-),7/8/2014,7/10/2014,0.0443,,,,,,,,,L3
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0942,7/30/2014,7/31/2014,,,M,0.1043,,,Pupa
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0756,8/5/2014,8/6/2014,8/12/2014,34,M,0.1373,5.352,0.52,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0487,,,,,,,,,L2
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0789,8/3/2014,8/4/2014,8/10/2014,32,M,0.076,4.198,0.33,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.1609,7/30/2014,7/31/2014,,,F,0.0883,,,Pupa
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0832,7/31/2014,7/31/2014,8/6/2014,28,M,0.1239,4.939,0.392,
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0656,8/2/2014,8/3/2014,8/8/2014,30,M,0.1326,5.068,0.502,
Gazella,HI,M(-),7/8/2014,7/11/2014,,,,,,,,,,L2
Gazella,HI,M(-),7/8/2014,7/9/2014,0.0649,,,,,,,,,L3
Gazella,HI,M(+),6/24/2014,6/26/2014,0.1256,,,,,,,,,L3
Gazella,HI,M(+),6/24/2014,6/26/2014,0.2326,7/10/2014,7/11/2014,7/16/2014,20,F,0.2347,6.292,,
Gazella,HI,M(+),6/24/2014,6/26/2014,0.2299,7/10/2014,7/11/2014,7/17/2014,21,F,0.2155,6.123,,
Gazella,HI,M(+),6/24/2014,6/26/2014,0.1476,7/15/2014,7/16/2014,7/21/2014,25,F,0.1619,5.543,,
Gazella,HI,M(+),6/24/2014,6/26/2014,0.1762,7/10/2014,7/11/2014,7/17/2014,21,F,0.225,6.076,,
Gazella,HI,M(+),6/24/2014,6/26/2014,0.2939,7/10/2014,7/11/2014,7/17/2014,21,M,0.2396,6.569,1.733,
Gazella,HI,M(+),6/24/2014,6/26/2014,0.1547,7/13/2014,7/14/2014,7/20/2014,24,M,0.1875,6.001,1.08,
Gazella,HI,M(+),6/24/2014,6/26/2014,,,,,,,,,,L2
Gazella,HI,M(+),6/24/2014,6/26/2014,0.2438,,,,,,,,,L3
Gazella,HI,M(+),6/24/2014,6/26/2014,0.2478,7/11/2014,7/12/2014,,,F,0.2165,,,Pupa
Gazella,HI,M(+),6/24/2014,6/26/2014,0.2224,7/11/2014,7/12/2014,7/18/2014,22,M,0.2326,6.371,1.812,
Gazella,HI,M(+),6/24/2014,6/25/2014,0.238,7/9/2014,7/10/2014,,,M,0.2307,,,Pupa
Gazella,HI,M(+),6/24/2014,6/25/2014,0.1272,7/10/2014,7/11/2014,7/17/2014,22,F,0.2206,6.202,,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.113,7/25/2014,7/26/2014,8/1/2014,23,M,0.1766,5.706,1.083,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.3039,7/23/2014,7/24/2014,7/30/2014,21,M,0.2094001,6.131,1.198,
Gazella,HI,M(+),7/8/2014,7/9/2014,,,,,,,,,,L1
Gazella,HI,M(+),7/8/2014,7/9/2014,0.2099,7/26/2014,7/27/2014,8/1/2014,23,M,0.1447,5.248,0.514,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.0786,7/28/2014,7/29/2014,8/3/2014,25,M,0.1367,5.302,0.682,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.085,7/28/2014,7/29/2014,8/3/2014,25,M,0.106,4.67,0.32,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.2103,7/25/2014,7/27/2014,8/1/2014,23,M,0.1849,5.858,1.11,
Gazella,HI,M(+),7/8/2014,7/9/2014,,,,,,,,,,L1
Gazella,HI,M(+),7/8/2014,7/9/2014,0.2813,7/23/2014,7/24/2014,7/30/2014,21,F,0.1934,5.924,,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.2776,7/22/2014,7/23/2014,7/29/2014,20,F,0.1948,5.942,,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.1699,7/25/2014,7/25/2014,,,,,,,PP
Gazella,HI,M(+),7/8/2014,7/9/2014,0.238,7/24/2014,7/25/2014,7/31/2014,22,M,0.1993,6,0.921,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.1401,7/24/2014,7/25/2014,7/31/2014,22,M,0.2143,6.196,1.605,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.1875,7/24/2014,7/25/2014,7/31/2014,22,F,0.2039,6.06,,
Gazella,HI,M(+),7/8/2014,7/9/2014,0.2333,7/23/2014,7/24/2014,7/30/2014,21,M,0.1854,5.82,1.15,
Gazella,HI,M(+),7/8/2014,7/10/2014,0.1679,7/27/2014,7/28/2014,8/3/2014,24,M,0.1836,5.8,1.157,
Gazella,HI,M(+),7/8/2014,7/10/2014,0.0823,,,,,,,,,L3
Gazella,HI,M(+),7/8/2014,7/9/2014,,,,,,,,,,L1
Gazella,HI,M(+),7/8/2014,7/9/2014,0.1578,7/25/2014,7/26/2014,8/1/2014,23,F,0.2056,6.082,,
Gazella,HI,M(+),7/8/2014,7/9/2014,,,,,,,,,,L2
